Token		Lexeme
keyword		function
identifier	fibonacci
separator	(
identifier	n
keyword		int
separator	)
separator	{
keyword		if
separator	(
identifier	n
operator	<=
integer		1
separator	)
keyword		return
identifier	n
separator	;
keyword		else
keyword		return
identifier	fibonacci
separator	(
identifier	n
operator	-
integer		2
separator	)
operator	+
identifier	fibonacci
separator	(
identifier	n
operator	-
integer		1
separator	)
separator	;
keyword		fi
separator	}
separator	#
keyword		Int
identifier	fib
separator	;
separator	#
keyword		get
separator	(
identifier	fib
separator	)
separator	;
keyword		put
separator	(
identifier	fibonacci
separator	(
identifier	fib
separator	)
separator	)
